batsman_id,match_dt,lastN_runs,lastN_avg,lastN_sr,lastN_boundary_pct,career_runs,career_avg,career_sr,lastN_caught,lastN_bowled,lastN_lbw,lastN_stumped,lastN_run out,lastN_caught and bowled,lastN_retired not out,lastN_retired hurt,lastN_hit wicket,lastN_retired out
31464.0,2021-01-01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31464.0,2021-01-02,40.0,8.0,72.72727272727273,9.090909090909092,8,8.0,72.72727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31464.0,2021-01-04,25.0,5.0,66.66666666666666,6.666666666666667,10,5.0,66.66666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-02,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-06,30.0,6.0,120.0,20.0,6,6.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-10,15.0,3.0,85.71428571428571,14.285714285714285,6,3.0,85.71428571428571,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-13,111.66666666666666,33.5,148.88888888888889,20.0,67,33.5,148.88888888888889,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-16,102.5,41.0,164.0,22.0,82,41.0,164.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-22,89.0,44.5,164.8148148148148,22.22222222222222,89,44.5,164.8148148148148,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-24,104.0,104.0,160.0,21.53846153846154,110,55.0,157.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-01-26,104.0,104.0,162.5,21.875,110,36.666666666666664,154.92957746478874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-02-06,92.0,92.0,187.75510204081633,26.53061224489796,159,53.0,169.14893617021275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-02-24,97.0,48.5,167.24137931034483,22.413793103448278,179,44.75,165.74074074074073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-02-28,102.0,51.0,172.8813559322034,23.728813559322035,191,47.75,169.02654867256638,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-03-03,108.0,36.0,189.4736842105263,28.07017543859649,218,43.6,171.6535433070866,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-04-09,124.0,62.0,190.76923076923077,29.230769230769234,234,46.8,172.05882352941177,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-04-14,76.0,25.333333333333332,168.88888888888889,26.666666666666668,235,39.166666666666664,169.06474820143885,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-04-25,57.0,19.0,172.72727272727272,30.303030303030305,236,33.714285714285715,167.3758865248227,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-07-09,46.0,15.333333333333334,148.38709677419354,25.806451612903224,237,33.857142857142854,164.58333333333331,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34061.0,2021-07-10,29.0,9.666666666666666,100.0,10.344827586206897,247,30.875,158.33333333333331,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
