bowler_id,match_dt,lastN_runs_conceded,lastN_bowling_avg,lastN_economy,lastN_strike_rate,lastN_dot_pct,lastN_boundary_conceded_pct,lastN_extras_pct,career_runs_conceded,career_bowling_avg,career_economy,career_strike_rate
34061.0,2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
34061.0,2021-01-03,175.0,17.5,11.666666666666666,9.0,22.22222222222222,22.22222222222222,11.11111111111111,35,17.5,11.666666666666666,9.0
34061.0,2021-01-06,142.5,19.0,8.142857142857142,14.0,26.190476190476193,9.523809523809524,7.142857142857142,57,19.0,8.142857142857142,14.0
34061.0,2021-01-10,151.66666666666666,30.333333333333332,8.149253731343283,22.333333333333332,26.865671641791046,11.940298507462686,5.970149253731343,91,30.333333333333332,8.149253731343283,22.333333333333332
34061.0,2021-01-13,156.25,31.25,8.823529411764707,21.25,30.58823529411765,16.470588235294116,5.88235294117647,125,31.25,8.823529411764707,21.25
34061.0,2021-01-16,145.0,36.25,8.969072164948454,24.25,30.927835051546392,16.49484536082474,6.185567010309279,145,36.25,8.969072164948454,24.25
34061.0,2021-01-22,132.0,33.0,7.689320388349515,25.75,33.980582524271846,13.592233009708737,3.8834951456310676,167,27.833333333333332,8.28099173553719,20.166666666666668
34061.0,2021-01-24,158.0,52.666666666666664,9.77319587628866,32.333333333333336,28.865979381443296,21.649484536082475,3.0927835051546393,215,35.833333333333336,9.280575539568344,23.166666666666668
34061.0,2021-01-30,147.0,36.75,9.8,22.5,27.77777777777778,21.11111111111111,2.2222222222222223,238,34.0,9.095541401273886,22.428571428571427
34061.0,2021-02-06,122.0,40.666666666666664,9.384615384615385,26.0,23.076923076923077,17.94871794871795,1.282051282051282,247,35.285714285714285,9.0920245398773,23.285714285714285
34061.0,2021-02-20,127.0,25.4,8.466666666666667,18.0,26.666666666666668,14.444444444444443,4.444444444444445,272,30.22222222222222,8.727272727272727,20.77777777777778
34061.0,2021-02-24,117.0,29.25,9.0,19.5,26.923076923076923,15.384615384615385,7.6923076923076925,284,28.4,8.56281407035176,19.9
34061.0,2021-02-27,79.0,19.75,7.181818181818182,16.5,31.818181818181817,9.090909090909092,9.090909090909092,294,29.4,8.604878048780488,20.5
34061.0,2021-02-28,84.0,21.0,7.636363636363637,16.5,30.303030303030305,10.606060606060606,9.090909090909092,322,29.272727272727273,8.663677130044842,20.272727272727273
34061.0,2021-03-03,114.0,22.8,8.55,16.0,31.25,13.750000000000002,8.75,361,30.083333333333332,8.91358024691358,20.25
